,close
90,90
20190530,95900
20190529,96900
20190528,96900
20190527,96200
20190524,95900
20190523,96800
20190522,97500
20190521,98500
20190520,95900
20190517,97700
20190516,98300
20190515,101500
20190514,98300
20190513,96800
20190510,99300
20190509,100000
20190508,102500
20190507,102000
20190503,104000
20190502,107500
20190430,108500
20190429,105500
20190426,107000
20190425,110500
20190424,111000
20190423,114000
20190422,116000
20190419,115000
20190418,114500
20190417,117500
20190416,112000
20190415,112500
20190412,114000
20190411,112000
20190410,110500
20190409,110500
20190408,108500
20190405,112500
20190404,113500
20190403,111000
20190402,107500
20190401,107500
20190329,104500
20190328,102500
20190327,103500
20190326,98200
20190325,99700
20190322,102500
20190321,102500
20190320,100000
20190319,100000
20190318,100000
20190315,99700
20190314,100500
20190313,100500
20190312,101500
20190311,100000
20190308,99600
20190307,101500
20190306,101500
20190305,103000
20190304,107000
20190228,107000
20190227,112000
20190226,109500
20190225,109000
20190222,109000
20190221,108000
20190220,112000
20190219,111500
20190218,112500
20190215,110500
20190214,114000
20190213,115500
20190212,113000
20190211,107000
20190208,106000
20190207,109500
20190201,110500
20190131,108000
20190130,112000
20190129,113500
20190128,106000
20190125,109500
20190124,99000
20190123,96400
20190122,95200
20190121,97300
20190118,94600
20190117,93600
20161213,45750
20161212,45550
20161209,45700
20161208,45350
20161207,45750
20161206,46250
20161205,46000
20161202,46600
20161201,46750
20161130,46300
20161129,46500
20161128,46300
20161125,46150
20161124,45850
20161123,47000
20161122,47650
20161121,48150
20161118,48100
20161117,48850
20161116,49050
20161115,49900
20161114,46800
20161111,46850
20161110,47950
20161109,47000
20161108,48000
20161107,47800
20161104,45600
20161103,45950
20161102,45400
20161101,46550
20161031,47100
20161028,48350
20161027,48000
20161026,47250
20161025,47800
20161024,48350
20161021,48150
20161020,47100
20161019,47350
20161018,47300
20161017,47300
20161014,47550
20161013,47300
20161012,48050
20161011,47500
20161010,47800
20161007,48150
20161006,48450
20161005,48400
20161004,49050
20160930,48900
20160929,49350
20160928,48350
20160927,48950
20160926,48700
20160923,49150
20160922,49550
20160921,49900
20160920,48900
20160919,48750
20160913,48700
20160912,47700
20160909,51600
20160908,52500
20160907,53000
20160906,53600
20160905,52600
20160902,52700
20160901,52000
20160831,53200
20160830,54800
20160829,56700
20160826,57800
20160825,59500
20160824,58800
20160823,59300
20160822,60000
20160819,60100
20160818,61300
20160817,58000
20160816,57600
20160812,58600
20160811,58700
20160810,58300
20160809,59500
20160808,58600
20160805,58900
20160804,58800
20160803,55200
20140708,57600
20140707,57200
20140704,57600
20140703,58600
20140702,58700
20140701,58000
20140630,58300
20140627,58200
20140626,57700
20140625,57400
20140624,58200
20140623,57700
20140620,58500
20140619,60100
20140618,61200
20140617,60600
20140616,60300
20140613,60300
20140612,61000
20140611,60800
20140610,62200
20140609,63000
20140605,61700
20140603,62800
20140602,63200
20140530,62900
20140529,63700
20140528,64200
20140527,64500
20140526,64500
20140523,64200
20140522,64500
20140521,64400
20140520,64900
20140519,64600
20140516,65600
20140515,66600
20140514,66300
20140513,65300
20140512,64900
20140509,66800
20140508,66500
20140507,65500
20140502,66500
20140430,66200
20140429,69200
20140428,69000
20140425,69300
20140424,71100
20140423,72500
20140422,73000
20140421,73000
20140418,72800
20140417,73700
20140416,73900
20140415,72200
20140414,72000
20140411,69200
20140410,69800
20140409,69500
20140408,68900
20140407,69100
20140404,68300
20140403,67000
20140402,68500
20140401,69000
20140331,69300
20140328,68200
20140327,68200
20140326,66700
20140325,67000
20140324,67200
20140321,66500
20140320,64900
20140319,66300
20140318,65500
20140317,65400
20140314,64800
20140313,64400
20140312,64000
20140311,65700
20140310,67500
20140307,67800
20140306,68300
20140305,69300
20140304,69500
20140303,69400
