,close
2019-05-30,42550
2019-05-29,41800
2019-05-28,42550
2019-05-27,42650
2019-05-24,42700
2019-05-23,43850
2019-05-22,43500
2019-05-21,43150
2019-05-20,42000
2019-05-17,41200
2019-05-16,41550
2019-05-15,42550
2019-05-14,42650
2019-05-13,42650
2019-05-10,42900
2019-05-09,42450
2019-05-08,44250
2019-05-07,44850
2019-05-03,45300
2019-05-02,45900
2019-04-30,45850
2019-04-29,46150
2019-04-26,44850
2019-04-25,44650
2019-04-24,44750
2019-04-23,45200
2019-04-22,45350
2019-04-19,45300
2019-04-18,45600
2019-04-17,47050
2019-04-16,47250
2019-04-15,47050
2019-04-12,46850
2019-04-11,46250
2019-04-10,46700
2019-04-09,46650
2019-04-08,46650
2019-04-05,46850
2019-04-04,46950
2019-04-03,46600
2019-04-02,45750
2019-04-01,45050
2019-03-29,44650
2019-03-28,44850
2019-03-27,45350
2019-03-26,45250
2019-03-25,45500
2019-03-22,46550
2019-03-21,45850
2019-03-20,44050
2019-03-19,43900
2019-03-18,43700
2019-03-15,44200
2019-03-14,43850
2019-03-13,43850
2019-03-12,44650
2019-03-11,43650
2019-03-08,43800
2019-03-07,44450
2019-03-06,44000
2019-03-05,44250
2019-03-04,44850
2019-02-28,45100
2019-02-27,46750
2019-02-26,46750
2019-02-25,47350
2019-02-22,47150
2019-02-21,46950
2019-02-20,46900
2019-02-19,45950
2019-02-18,46200
2019-02-15,46050
2019-02-14,47500
2019-02-13,46200
2019-02-12,46050
2019-02-11,45000
2019-02-08,44800
2019-02-07,46200
2019-02-01,46350
2019-01-31,46150
2019-01-30,46400
2019-01-29,45500
2019-01-28,45050
2019-01-25,44750
2019-01-24,43050
2019-01-23,42000
2019-01-22,42150
2019-01-21,42750
2019-01-18,42300
2019-01-17,41950
2016-12-13,35320
2016-12-12,35040
2016-12-09,35600
2016-12-08,35800
2016-12-07,35440
2016-12-06,34960
2016-12-05,34360
2016-12-02,34540
2016-12-01,34980
2016-11-30,34920
2016-11-29,33540
2016-11-28,33540
2016-11-25,33000
2016-11-24,33000
2016-11-23,32980
2016-11-22,32800
2016-11-21,31860
2016-11-18,31720
2016-11-17,31360
2016-11-16,31160
2016-11-15,30780
2016-11-14,31060
2016-11-11,31960
2016-11-10,32980
2016-11-09,31920
2016-11-08,32880
2016-11-07,32800
2016-11-04,32540
2016-11-03,32320
2016-11-02,32860
2016-11-01,33040
2016-10-31,32780
2016-10-28,32280
2016-10-27,31460
2016-10-26,31340
2016-10-25,31940
2016-10-24,32160
2016-10-21,31780
2016-10-20,32400
2016-10-19,32500
2016-10-18,31780
2016-10-17,31800
2016-10-14,31540
2016-10-13,31140
2016-10-12,30700
2016-10-11,30900
2016-10-10,33600
2016-10-07,34120
2016-10-06,33820
2016-10-05,32380
2016-10-04,32280
2016-09-30,31960
2016-09-29,32000
2016-09-28,31340
2016-09-27,31380
2016-09-26,31360
2016-09-23,31420
2016-09-22,32360
2016-09-21,31840
2016-09-20,31700
2016-09-19,31160
2016-09-13,30540
2016-09-12,29300
2016-09-09,31500
2016-09-08,32780
2016-09-07,32420
2016-09-06,32860
2016-09-05,32120
2016-09-02,31940
2016-09-01,31740
2016-08-31,32400
2016-08-30,32900
2016-08-29,32800
2016-08-26,32240
2016-08-25,32780
2016-08-24,33060
2016-08-23,33740
2016-08-22,33300
2016-08-19,33500
2016-08-18,32800
2016-08-17,31320
2016-08-16,31360
2016-08-12,30900
2016-08-11,31180
2016-08-10,30820
2016-08-09,31340
2016-08-08,31380
2016-08-05,31220
2016-08-04,30340
2016-08-03,30340
2014-07-08,25900
2014-07-07,25840
2014-07-04,26120
2014-07-03,26360
2014-07-02,26600
2014-07-01,26200
2014-06-30,26440
2014-06-27,26220
2014-06-26,26500
2014-06-25,26400
2014-06-24,26900
2014-06-23,26440
2014-06-20,26020
2014-06-19,26460
2014-06-18,27160
2014-06-17,27480
2014-06-16,27480
2014-06-13,27340
2014-06-12,28260
2014-06-11,28440
2014-06-10,28720
2014-06-09,28180
2014-06-05,29140
2014-06-03,29400
2014-06-02,29100
2014-05-30,28860
2014-05-29,29200
2014-05-28,28660
2014-05-27,28140
2014-05-26,28440
2014-05-23,28560
2014-05-22,28520
2014-05-21,28820
2014-05-20,29020
2014-05-19,28960
2014-05-16,28560
2014-05-15,28200
2014-05-14,28300
2014-05-13,28000
2014-05-12,27760
2014-05-09,26700
2014-05-08,27000
2014-05-07,26880
2014-05-02,26920
2014-04-30,26860
2014-04-29,27200
2014-04-28,27760
2014-04-25,27980
2014-04-24,28140
2014-04-23,27780
2014-04-22,27500
2014-04-21,27600
2014-04-18,27560
2014-04-17,27400
2014-04-16,27600
2014-04-15,27400
2014-04-14,27400
2014-04-11,27300
